title,description,category,difficulty_level,created_by,created_at,video,pdf,_id
Introduction to Calculus,Learn the fundamentals of calculus including derivatives and integrals.,Business,beginner,User_264,32:38.5,http://video.course1.com,http://pdf.course1.com,aece62d42594496cba5558ce
General Chemistry,"Explore the basics of chemical reactions, compounds, and periodic trends.",Science,advanced,User_422,32:38.5,http://video.course2.com,http://pdf.course2.com,ad5c5fae1f824e4eb7c5e050
World History Basics,Understand major historical events and their impact on the modern world.,Business,advanced,User_240,32:38.5,http://video.course3.com,http://pdf.course3.com,9c46c18d216f44c693aed8bc
Programming in Python,Master Python programming with hands-on projects and examples.,History,intermediate,User_346,32:38.5,http://video.course4.com,http://pdf.course4.com,c0e711b83c784e1997a2da2a
Modern Art Techniques,"Discover creative painting, drawing, and sculpture techniques.",Computer Science,advanced,User_271,32:38.5,http://video.course5.com,http://pdf.course5.com,567f0b690cd9493c89f37633
Shakespeare's Works,Dive into the works of Shakespeare and their relevance today.,Engineering,beginner,User_328,32:38.5,http://video.course6.com,http://pdf.course6.com,a54fea9bf4a64f3d873b9f27
Mechanical Engineering Principles,Gain insight into the mechanics and design of engineering systems.,Computer Science,advanced,User_256,32:38.5,http://video.course7.com,http://pdf.course7.com,dca4a29b4cee45e3968ed45f
Entrepreneurship 101,Learn how to launch and manage your own business successfully.,Mathematics,beginner,User_247,32:38.5,http://video.course8.com,http://pdf.course8.com,d51f966f61644fa0930400c6
Advanced Data Structures,Study complex data structures and their applications in algorithms.,Science,advanced,User_331,32:38.5,http://video.course9.com,http://pdf.course9.com,64af47b79b9f4415b736ace5
Digital Marketing Strategies,Explore effective marketing strategies in the digital age.,Science,beginner,User_388,32:38.5,http://video.course10.com,http://pdf.course10.com,9c7d9f2876e642ce85b4bbbf
Machine Learning Foundations,Build a strong foundation in machine learning concepts and tools.,History,intermediate,User_432,32:38.5,http://video.course11.com,http://pdf.course11.com,cfc2274ef66742bdafb2b617
Electrical Circuit Design,Understand the design and analysis of electrical circuits.,Computer Science,beginner,User_350,32:38.5,http://video.course12.com,http://pdf.course12.com,12eb8f9c27c44d99afdd1407
Web Development with React,Develop modern web applications using React.js and other tools.,Business,beginner,User_175,32:38.5,http://video.course13.com,http://pdf.course13.com,64bc87c92f1043feb0fc73a0
Creative Writing,Learn techniques for writing compelling fiction and non-fiction.,Art,beginner,User_197,32:38.5,http://video.course14.com,http://pdf.course14.com,08e0fa6ad15b4a4a9af5e99f
Physics for Engineers,Understand physics principles critical to engineering applications.,Science,advanced,User_322,32:38.5,http://video.course15.com,http://pdf.course15.com,e9ea0dc18a8b4dd68e856d40
Environmental Science,Examine ecological systems and the science behind environmental challenges.,Literature,intermediate,User_179,32:38.5,http://video.course16.com,http://pdf.course16.com,0c3e4826f4e74b0592859b21
Artificial Intelligence Basics,Explore the basics of artificial intelligence and machine learning.,Computer Science,advanced,User_330,32:38.5,http://video.course17.com,http://pdf.course17.com,94084e4bd7bc4256b80ac196
Statistics for Data Science,Learn statistical methods crucial for data analysis and modeling.,Engineering,beginner,User_142,32:38.5,http://video.course18.com,http://pdf.course18.com,a5e2aff6a7e74d07b7f4f313
Cybersecurity Essentials,Understand the principles of securing information systems.,Literature,intermediate,User_120,32:38.5,http://video.course19.com,http://pdf.course19.com,0d1af0bc7adf41d89e1d3593
Financial Accounting,Get an overview of key accounting principles for managing finances.,Engineering,beginner,User_62,32:38.5,http://video.course20.com,http://pdf.course20.com,19af887dc8234326bd84fc4d
Mobile App Development,Learn to design and develop mobile apps for Android and iOS.,Literature,beginner,User_333,32:38.5,http://video.course21.com,http://pdf.course21.com,67c2a037fb7a47ceadd94ac4
Human Anatomy,Explore the structure and functions of the human body.,Mathematics,beginner,User_155,32:38.5,http://video.course22.com,http://pdf.course22.com,66af555070ad485198f903c5
Game Development with Unity,Learn to create engaging games using the Unity game engine.,Science,beginner,User_11,32:38.5,http://video.course23.com,http://pdf.course23.com,035a5c440ad849e2980277b5
Blockchain Fundamentals,Understand blockchain technology and its practical applications.,Art,intermediate,User_412,32:38.5,http://video.course24.com,http://pdf.course24.com,242d1b245c9448b084bef277
Cloud Computing Overview,Explore cloud platforms and services for modern computing needs.,Art,advanced,User_285,32:38.5,http://video.course25.com,http://pdf.course25.com,72967079aae44e55b8696b4e
UX/UI Design Principles,Learn the fundamentals of creating user-friendly designs.,Mathematics,intermediate,User_142,32:38.5,http://video.course26.com,http://pdf.course26.com,d5986e66e3ed425b9ff5c633
Photography Masterclass,Master photography techniques from beginner to advanced levels.,Science,intermediate,User_447,32:38.5,http://video.course27.com,http://pdf.course27.com,569583588d904a73aca5de96
Database Management Systems,Understand database systems and their applications in real-world scenarios.,Engineering,beginner,User_27,32:38.5,http://video.course28.com,http://pdf.course28.com,8bf7991a30b24840ae5e8fd1
Robotics and Automation,Learn the basics of designing and building robotic systems.,History,beginner,User_94,32:38.5,http://video.course29.com,http://pdf.course29.com,3beadcbc73ba4996ad106e55
Renewable Energy Systems,Explore technologies driving renewable energy and sustainability.,Computer Science,intermediate,User_318,32:38.5,http://video.course30.com,http://pdf.course30.com,55768fd09af14de9a5518ff0
